weight fractions
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_onliqal
400000000.000000 	 1473.000000 	 0.020000 	 0.005000 	  0.020000 	 0.005000 	 0.000000 	 0.000000 	 0.000000 
390000000.000000 	 1473.000000 	 0.020000 	 0.005000 	  0.020000 	 0.005000 	 0.000000 	 0.000000 	 0.000000 
380000000.000000 	 1473.000000 	 0.020000 	 0.005000 	  0.020000 	 0.005000 	 0.000000 	 0.000000 	 0.000000 
370000000.000000 	 1473.000000 	 0.020000 	 0.005000 	  0.020000 	 0.005000 	 0.000000 	 0.000000 	 0.000000 
360000000.000000 	 1473.000000 	 0.020000 	 0.005000 	  0.019984 	 0.004686 	 0.067390 	 0.150118 	 0.000339 
350000000.000000 	 1473.000000 	 0.019977 	 0.004684 	  0.019968 	 0.004519 	 0.068707 	 0.152788 	 0.000178 
340000000.000000 	 1473.000000 	 0.019965 	 0.004518 	  0.019956 	 0.004354 	 0.070115 	 0.155631 	 0.000177 
330000000.000000 	 1473.000000 	 0.019952 	 0.004353 	  0.019943 	 0.004191 	 0.071602 	 0.158623 	 0.000176 
320000000.000000 	 1473.000000 	 0.019940 	 0.004190 	  0.019931 	 0.004030 	 0.073177 	 0.161778 	 0.000174 
310000000.000000 	 1473.000000 	 0.019927 	 0.004029 	  0.019918 	 0.003871 	 0.074849 	 0.165113 	 0.000172 
300000000.000000 	 1473.000000 	 0.019914 	 0.003870 	  0.019905 	 0.003713 	 0.076627 	 0.168644 	 0.000170 
290000000.000000 	 1473.000000 	 0.019901 	 0.003713 	  0.019891 	 0.003558 	 0.078523 	 0.172392 	 0.000169 
280000000.000000 	 1473.000000 	 0.019888 	 0.003557 	  0.019878 	 0.003404 	 0.080550 	 0.176379 	 0.000167 
270000000.000000 	 1473.000000 	 0.019875 	 0.003403 	  0.019864 	 0.003252 	 0.082725 	 0.180632 	 0.000166 
260000000.000000 	 1473.000000 	 0.019861 	 0.003251 	  0.019850 	 0.003102 	 0.085063 	 0.185180 	 0.000164 
250000000.000000 	 1473.000000 	 0.019847 	 0.003101 	  0.019836 	 0.002954 	 0.087587 	 0.190057 	 0.000163 
240000000.000000 	 1473.000000 	 0.019833 	 0.002953 	  0.019821 	 0.002807 	 0.090321 	 0.195304 	 0.000161 
230000000.000000 	 1473.000000 	 0.019818 	 0.002807 	  0.019806 	 0.002662 	 0.093293 	 0.200967 	 0.000160 
220000000.000000 	 1473.000000 	 0.019803 	 0.002662 	  0.019791 	 0.002519 	 0.096538 	 0.207102 	 0.000159 
210000000.000000 	 1473.000000 	 0.019788 	 0.002518 	  0.019775 	 0.002377 	 0.100098 	 0.213775 	 0.000157 
200000000.000000 	 1473.000000 	 0.019772 	 0.002377 	  0.019759 	 0.002237 	 0.104023 	 0.221062 	 0.000156 
190000000.000000 	 1473.000000 	 0.019756 	 0.002237 	  0.019742 	 0.002099 	 0.108375 	 0.229059 	 0.000155 
180000000.000000 	 1473.000000 	 0.019739 	 0.002099 	  0.019725 	 0.001962 	 0.113231 	 0.237880 	 0.000154 
170000000.000000 	 1473.000000 	 0.019722 	 0.001962 	  0.019706 	 0.001827 	 0.118688 	 0.247667 	 0.000154 
160000000.000000 	 1473.000000 	 0.019703 	 0.001826 	  0.019703 	 0.001826 	 0.000000 	 0.000000 	 0.000000 
150000000.000000 	 1473.000000 	 0.019703 	 0.001826 	  0.019669 	 0.001560 	 0.131954 	 0.270917 	 0.000308 
140000000.000000 	 1473.000000 	 0.019663 	 0.001559 	  0.019663 	 0.001559 	 0.000000 	 0.000000 	 -0.000000 
130000000.000000 	 1473.000000 	 0.019663 	 0.001559 	  0.019623 	 0.001298 	 0.149633 	 0.300763 	 0.000307 
120000000.000000 	 1473.000000 	 0.019617 	 0.001298 	  0.019617 	 0.001298 	 0.000000 	 0.000000 	 0.000000 
110000000.000000 	 1473.000000 	 0.019617 	 0.001298 	  0.019569 	 0.001041 	 0.174548 	 0.340760 	 0.000312 
100000000.000000 	 1473.000000 	 0.019562 	 0.001041 	  0.019535 	 0.000914 	 0.191292 	 0.366370 	 0.000157 
90000000.000000 	 1473.000000 	 0.019532 	 0.000914 	  0.019501 	 0.000787 	 0.212505 	 0.397456 	 0.000161 
80000000.000000 	 1473.000000 	 0.019498 	 0.000787 	  0.019461 	 0.000660 	 0.240195 	 0.435907 	 0.000167 
70000000.000000 	 1473.000000 	 0.019458 	 0.000660 	  0.019413 	 0.000533 	 0.277928 	 0.484768 	 0.000176 
60000000.000000 	 1473.000000 	 0.019409 	 0.000533 	  0.019350 	 0.000406 	 0.332452 	 0.549018 	 0.000191 
50000000.000000 	 1473.000000 	 0.019346 	 0.000406 	  0.019258 	 0.000277 	 0.418176 	 0.637274 	 0.000221 
40000000.000000 	 1473.000000 	 0.019253 	 0.000277 	  0.019087 	 0.000148 	 0.570965 	 0.764877 	 0.000302 
30000000.000000 	 1473.000000 	 0.019081 	 0.000148 	  0.018365 	 0.000030 	 0.861675 	 0.938376 	 0.000849 
20000000.000000 	 1473.000000 	 0.018349 	 0.000030 	  0.014621 	 0.000001 	 0.992371 	 0.996865 	 0.003814 
10000000.000000 	 1473.000000 	 0.014565 	 0.000000 	  0.008941 	 0.000000 	 1.000000 	 1.000000 	 0.005675 
