weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030000 	 0.070288 	 0.010000 
390000000.000000 	 1473.000000 	 0.012113 	 0.015492 	  0.011932 	 0.005850 	 0.030000 	 0.070288 	 0.010000 
380000000.000000 	 1473.000000 	 0.011965 	 0.015323 	  0.011783 	 0.005680 	 0.030000 	 0.070288 	 0.010000 
370000000.000000 	 1473.000000 	 0.011815 	 0.015157 	  0.011631 	 0.005512 	 0.030001 	 0.070289 	 0.010000 
360000000.000000 	 1473.000000 	 0.011662 	 0.014992 	  0.011477 	 0.005345 	 0.030002 	 0.070292 	 0.010000 
350000000.000000 	 1473.000000 	 0.011508 	 0.014829 	  0.011321 	 0.005181 	 0.030007 	 0.070304 	 0.010000 
340000000.000000 	 1473.000000 	 0.011353 	 0.014667 	  0.011164 	 0.005017 	 0.030021 	 0.070334 	 0.010000 
330000000.000000 	 1473.000000 	 0.011200 	 0.014507 	  0.011009 	 0.004855 	 0.030052 	 0.070404 	 0.010000 
320000000.000000 	 1473.000000 	 0.011051 	 0.014347 	  0.010859 	 0.004694 	 0.030115 	 0.070545 	 0.010001 
310000000.000000 	 1473.000000 	 0.010913 	 0.014189 	  0.010718 	 0.004534 	 0.030229 	 0.070801 	 0.010002 
300000000.000000 	 1473.000000 	 0.010789 	 0.014030 	  0.010590 	 0.004374 	 0.030417 	 0.071223 	 0.010004 
290000000.000000 	 1473.000000 	 0.010684 	 0.013872 	  0.010482 	 0.004214 	 0.030703 	 0.071865 	 0.010007 
280000000.000000 	 1473.000000 	 0.010603 	 0.013712 	  0.010396 	 0.004054 	 0.031109 	 0.072774 	 0.010010 
270000000.000000 	 1473.000000 	 0.010547 	 0.013553 	  0.010333 	 0.003893 	 0.031649 	 0.073981 	 0.010016 
260000000.000000 	 1473.000000 	 0.010514 	 0.013393 	  0.010293 	 0.003732 	 0.032329 	 0.075501 	 0.010022 
250000000.000000 	 1473.000000 	 0.010501 	 0.013233 	  0.010271 	 0.003572 	 0.033149 	 0.077329 	 0.010030 
240000000.000000 	 1473.000000 	 0.010503 	 0.013074 	  0.010264 	 0.003412 	 0.034100 	 0.079443 	 0.010039 
230000000.000000 	 1473.000000 	 0.010514 	 0.012916 	  0.010264 	 0.003253 	 0.035168 	 0.081811 	 0.010049 
220000000.000000 	 1473.000000 	 0.010527 	 0.012759 	  0.010265 	 0.003095 	 0.036335 	 0.084389 	 0.010061 
210000000.000000 	 1473.000000 	 0.010536 	 0.012604 	  0.010261 	 0.002940 	 0.037581 	 0.087135 	 0.010073 
200000000.000000 	 1473.000000 	 0.010533 	 0.012452 	  0.010245 	 0.002787 	 0.038888 	 0.090003 	 0.010085 
190000000.000000 	 1473.000000 	 0.010514 	 0.012302 	  0.010211 	 0.002637 	 0.040235 	 0.092950 	 0.010099 
180000000.000000 	 1473.000000 	 0.010473 	 0.012155 	  0.010155 	 0.002489 	 0.041605 	 0.095936 	 0.010112 
170000000.000000 	 1473.000000 	 0.010406 	 0.012011 	  0.010073 	 0.002344 	 0.042983 	 0.098927 	 0.010126 
160000000.000000 	 1473.000000 	 0.010308 	 0.011870 	  0.009959 	 0.002203 	 0.044353 	 0.101891 	 0.010139 
150000000.000000 	 1473.000000 	 0.010176 	 0.011732 	  0.009812 	 0.002064 	 0.045704 	 0.104801 	 0.010153 
140000000.000000 	 1473.000000 	 0.010007 	 0.011596 	  0.009627 	 0.001928 	 0.047023 	 0.107635 	 0.010166 
130000000.000000 	 1473.000000 	 0.009798 	 0.011463 	  0.009402 	 0.001794 	 0.048303 	 0.110373 	 0.010179 
120000000.000000 	 1473.000000 	 0.009545 	 0.011333 	  0.009133 	 0.001663 	 0.049534 	 0.112998 	 0.010191 
110000000.000000 	 1473.000000 	 0.009245 	 0.011205 	  0.008817 	 0.001535 	 0.050710 	 0.115497 	 0.010203 
100000000.000000 	 1473.000000 	 0.008895 	 0.011079 	  0.008452 	 0.001408 	 0.051823 	 0.117857 	 0.010215 
90000000.000000 	 1473.000000 	 0.008490 	 0.010955 	  0.008031 	 0.001283 	 0.052870 	 0.120068 	 0.010225 
80000000.000000 	 1473.000000 	 0.008025 	 0.010832 	  0.007552 	 0.001159 	 0.053844 	 0.122121 	 0.010235 
70000000.000000 	 1473.000000 	 0.007495 	 0.010710 	  0.007006 	 0.001036 	 0.054740 	 0.124004 	 0.010245 
60000000.000000 	 1473.000000 	 0.006890 	 0.010588 	  0.006385 	 0.000913 	 0.055552 	 0.125707 	 0.010253 
50000000.000000 	 1473.000000 	 0.006199 	 0.010465 	  0.005680 	 0.000789 	 0.056274 	 0.127217 	 0.010261 
40000000.000000 	 1473.000000 	 0.005408 	 0.010339 	  0.004874 	 0.000663 	 0.056896 	 0.128517 	 0.010267 
30000000.000000 	 1473.000000 	 0.004496 	 0.010208 	  0.003947 	 0.000531 	 0.057406 	 0.129581 	 0.010272 
20000000.000000 	 1473.000000 	 0.003430 	 0.010069 	  0.002865 	 0.000390 	 0.057786 	 0.130372 	 0.010276 
